id_visualizacion,id_pelicula,id_usuario,fecha,fecha_visualizacion,fecha_inicio,fecha_fin,interrupcion,longitud,latitud,id_plataforma,nombre_plataforma,calificacion,costo_servicio
1,2,58,2023-00-29,2023-00-29,2023-00-29,2023-00-29,,-74.5466,5.8249,3,procinal,6,63.87
2,7,52,2023-00-29,2023-00-29,2023-00-29,2023-00-29,,-68.2026,-4.05276,3,procinal,7,11.68
3,6,48,2023-00-29,2023-00-29,2023-00-29,2023-00-29,,-70.2011,1.06276,3,procinal,2,99.89
4,4,54,2023-00-29,2023-00-29,2023-00-29,2023-00-29,,-68.7304,-0.829606,3,procinal,8,97.94
5,9,59,2023-00-29,2023-00-29,2023-00-29,2023-00-29,,-72.9492,2.6671,3,procinal,4,58.93
6,7,48,2023-00-29,2023-00-29,2023-00-29,2023-00-29,,-68.9588,8.35003,3,procinal,8,56.41
7,8,59,2023-00-29,2023-00-29,2023-00-29,2023-00-29,,-67.8035,10.0059,3,procinal,7,83.89
8,3,52,2023-00-29,2023-00-29,2023-00-29,2023-00-29,,-74.6923,1.25875,3,procinal,5,23.5
9,3,53,2023-00-29,2023-00-29,2023-00-29,2023-00-29,,-72.9242,2.72863,3,procinal,7,66.27
10,3,60,2023-00-29,2023-00-29,2023-00-29,2023-00-29,,-67.1526,9.93692,3,procinal,6,77.09
11,2,45,2023-00-01,2023-00-01,2023-00-01,2023-00-01,,-71.3315,8.49886,3,procinal,5,20.61
12,4,53,2023-00-01,2023-00-01,2023-00-01,2023-00-01,,-72.019,10.7789,3,procinal,2,53.91
13,1,60,2023-00-01,2023-00-01,2023-00-01,2023-00-01,,-70.3398,9.20281,3,procinal,8,33.97
14,6,44,2023-00-01,2023-00-01,2023-00-01,2023-00-01,,-75.1932,6.57954,3,procinal,1,12.01
15,4,53,2023-00-01,2023-00-01,2023-00-01,2023-00-01,,-68.9008,4.47932,3,procinal,7,75.33
16,9,56,2023-00-01,2023-00-01,2023-00-01,2023-00-01,,-68.9237,7.04986,3,procinal,4,41.11
17,1,50,2023-00-01,2023-00-01,2023-00-01,2023-00-01,,-69.9133,4.97588,3,procinal,7,85.38
18,5,46,2023-00-01,2023-00-01,2023-00-01,2023-00-01,,-67.1531,10.8178,3,procinal,2,76.88
19,7,57,2023-00-01,2023-00-01,2023-00-01,2023-00-01,,-72.7399,6.93715,3,procinal,9,84.7
20,8,59,2023-00-01,2023-00-01,2023-00-01,2023-00-01,,-71.2649,10.0893,3,procinal,9,45.4
21,2,45,2023-00-01,2023-00-01,2023-00-01,2023-00-01,,-71.3315,8.49886,3,procinal,5,20.61
22,4,53,2023-00-01,2023-00-01,2023-00-01,2023-00-01,,-72.019,10.7789,3,procinal,2,53.91
23,1,60,2023-00-01,2023-00-01,2023-00-01,2023-00-01,,-70.3398,9.20281,3,procinal,8,33.97
24,6,44,2023-00-01,2023-00-01,2023-00-01,2023-00-01,,-75.1932,6.57954,3,procinal,1,12.01
25,4,53,2023-00-01,2023-00-01,2023-00-01,2023-00-01,,-68.9008,4.47932,3,procinal,7,75.33
26,9,56,2023-00-01,2023-00-01,2023-00-01,2023-00-01,,-68.9237,7.04986,3,procinal,4,41.11
27,1,50,2023-00-01,2023-00-01,2023-00-01,2023-00-01,,-69.9133,4.97588,3,procinal,7,85.38
28,5,46,2023-00-01,2023-00-01,2023-00-01,2023-00-01,,-67.1531,10.8178,3,procinal,2,76.88
29,7,57,2023-00-01,2023-00-01,2023-00-01,2023-00-01,,-72.7399,6.93715,3,procinal,9,84.7
30,8,59,2023-00-01,2023-00-01,2023-00-01,2023-00-01,,-71.2649,10.0893,3,procinal,9,45.4
31,2,45,2023-00-01,2023-00-01,2023-00-01,2023-00-01,,-71.3315,8.49886,3,procinal,5,20.61
32,4,53,2023-00-01,2023-00-01,2023-00-01,2023-00-01,,-72.019,10.7789,3,procinal,2,53.91
33,1,60,2023-00-01,2023-00-01,2023-00-01,2023-00-01,,-70.3398,9.20281,3,procinal,8,33.97
34,6,44,2023-00-01,2023-00-01,2023-00-01,2023-00-01,,-75.1932,6.57954,3,procinal,1,12.01
35,4,53,2023-00-01,2023-00-01,2023-00-01,2023-00-01,,-68.9008,4.47932,3,procinal,7,75.33
36,9,56,2023-00-01,2023-00-01,2023-00-01,2023-00-01,,-68.9237,7.04986,3,procinal,4,41.11
37,1,50,2023-00-01,2023-00-01,2023-00-01,2023-00-01,,-69.9133,4.97588,3,procinal,7,85.38
38,5,46,2023-00-01,2023-00-01,2023-00-01,2023-00-01,,-67.1531,10.8178,3,procinal,2,76.88
39,7,57,2023-00-01,2023-00-01,2023-00-01,2023-00-01,,-72.7399,6.93715,3,procinal,9,84.7
40,8,59,2023-00-01,2023-00-01,2023-00-01,2023-00-01,,-71.2649,10.0893,3,procinal,9,45.4
